User Id,Time,Win/Loss Ratio,Number of Deposits,label
1,1,0.860352276,1,0
2,6,0.352193,8,4
3,12,0.506404678,2,4
4,0,0.910978089,1,0
5,2,0.009228159,11,4
6,2,0.445290319,2,2
7,5,6.944015444,1,0
8,1,0.800880185,1,0
9,1,0.557737286,2,2
10,9,1.095296964,1,2
11,10,0.219574374,7,4
12,2,0.196509009,12,4
13,9,0.737463787,5,2
14,7,1.782914276,1,1
15,7,1.18788826,5,3
16,7,1.626660878,2,2
17,0,6.50019367,2,0
18,0,2.350794407,1,0
19,8,0.222932439,7,4
20,6,0.22824838,9,5
21,18,0.108844818,17,5
22,11,0.187637492,3,4
23,7,1.09577335,1,1
24,4,6.513115962,1,0
25,10,0.162207943,2,4
26,23,0.164689587,12,5
27,0,2.730315844,1,0
28,20,0.043030146,10,5
29,2,5.24708075,1,0
30,9,0.469964405,3,3
31,9,0.988022256,1,1
32,8,0.356559398,7,4
33,4,0.151079698,10,4
34,8,0.092463737,35,5
35,7,0.884468369,1,1
36,23,0.088510483,13,5
37,1,0.832755802,0,0
38,6,8.282194013,1,0
39,7,0.948529325,2,1
40,5,5.21565519,1,0
41,4,0.174868946,8,4
42,23,1.181438439,2,5
43,3,0.13082863,6,4
44,10,0.767751749,4,2
45,9,0.571468221,7,3
46,3,6.041589796,2,0
47,7,0.585497008,5,3
48,1,0.230940352,8,3
49,1,0.230940352,8,3
50,3,1.061996439,2,1
51,11,0.145484267,2,4
52,2,0.23028083,4,1
53,3,0.331106484,4,3
54,5,6.181403061,1,0
55,3,0.763836902,4,3
56,23,2.678675669,3,5
57,2,0.642490556,2,1
58,23,0.056738058,5,5
59,16,1.04478593,3,5
60,10,3.151030875,0,0
61,7,0.732425712,2,1
62,4,5.00819671,1,0
63,1,6.015102393,3,0
64,7,0.00040433,24,5
65,8,0.23664207,5,4
66,0,0.190683461,2,2
67,4,6.411717691,1,0
68,1,0.230940352,8,3
69,0,10.21286009,0,0
70,4,0.35329429,2,2
71,1,0.440312097,1,2
72,1,0.541950667,3,1
73,7,0.11207921,7,4
74,2,2.418116884,1,0
75,21,0.126336883,11,5
76,7,0.418998908,1,1
77,5,0.290196946,4,4
78,2,0.230940352,8,3
79,0,0.230940352,8,3
80,3,5.723813751,2,0
81,7,1.124522352,5,3
82,12,0.190612612,2,4
83,8,0.777267841,4,2
84,7,1.845921296,5,3
85,11,1.524306664,1,2
86,6,0.46754873,1,2
87,7,0.008556792,6,4
88,6,0.677842951,5,3
89,8,1.02926733,4,3
90,24,1.604521937,2,5
91,8,1.088374624,1,1
92,6,0.397431306,1,2
93,4,0.732709353,2,1
94,8,0.44296575,1,1
95,8,0.352985586,8,4
96,8,0.408153176,4,3
97,18,0.144208057,13,5
98,3,0.473518272,3,2
99,8,0.435719689,9,4
100,7,1.049484629,4,3
101,10,0.183566106,5,4
102,9,0.368808454,9,4
103,2,1.943241154,1,0
104,20,1.04474943,3,5
105,17,1.691526219,3,5
106,8,0.897947249,4,3
107,18,0.08911906,22,5
108,6,0.266794231,5,4
109,2,1.992008057,3,1
110,8,0.866524544,4,2
111,19,0.102043347,5,5
112,2,0.367926388,2,3
113,2,0.438390166,1,2
114,8,0.318768795,7,4
115,8,0.332442372,3,3
116,10,1.21819034,5,2
117,1,0.153492195,7,3
118,5,0.509301267,3,2
119,2,0.198315187,10,4
120,7,0.418541436,6,3
121,4,1.082131043,2,1
122,22,0.98809014,2,5
123,0,0.07854276,8,3
124,10,1.839041972,0,2
125,0,0.297311414,6,3
126,6,0.297496116,6,4
127,3,0.307108438,3,3
128,7,0.335284847,3,3
129,5,1.145187966,1,2
130,0,0.343719554,3,2
131,8,0.418346318,7,4
132,3,0.50894925,2,1
133,9,0.43135914,7,4
134,24,0,15,5
135,12,0.370325743,7,5
136,9,0.440382564,8,4
137,9,0.777267841,4,2
138,19,0.005776369,8,5
139,21,0.130267092,6,5
140,1,0.184211075,6,3
141,17,1.406113421,2,5
142,13,2.732167246,3,4
143,10,0.716747102,5,2
144,3,0.183731002,12,4
145,18,3.690673595,2,5
146,1,0.641311522,3,1
147,10,0.108619312,3,4
148,7,1.18927577,4,3
149,3,0.161231305,10,4
150,8,0.324361875,6,3
151,14,0,9,5
152,11,1.274112881,1,2
153,11,1.054138519,1,2
154,5,0.218138129,6,3
155,12,0.10204616,16,5
156,9,1.066301902,1,1
157,4,0.250074848,5,4
158,8,0.309029928,7,4
159,0,0,9,3
160,2,0.849784677,4,1
161,1,6.718456309,2,0
162,0,0.146234458,6,3
163,7,1.048342262,2,1
164,3,0.287485711,5,4
165,16,2.986160066,7,4
166,6,0.324231193,2,2
167,8,1.239169192,5,3
168,24,0,11,5
169,1,5.075412641,2,0
170,4,0.267116645,4,4
171,5,0.435103777,4,2
172,0,0.69788385,3,2
173,4,0.240327656,5,4
174,2,0.731627518,1,0
175,6,2.344810674,1,0
176,3,0.19703607,11,4
177,14,0.24080486,6,5
178,6,0.28083035,7,4
179,8,1.025994035,5,3
180,5,0.28300759,7,4
181,21,0.62924563,3,5
182,3,0.26903631,8,4
183,10,0.145542787,3,4
184,6,0.689454989,2,2
185,4,0.266059895,7,4
186,9,1.13223446,1,1
187,7,1.074692698,2,1
188,6,0.572935166,5,3
189,5,0.2875065,4,4
190,8,0.40957935,4,2
191,10,0.715114422,4,2
192,5,6.832290067,1,0
193,1,0.239555946,6,3
194,8,0.080217314,20,5
195,4,0.45833717,5,3
196,23,0.033017421,5,5
197,9,0.653712753,7,3
198,2,0.976720959,5,1
199,4,0.749229325,4,1
200,8,0.164168817,4,3
201,8,0.508801242,1,1
202,10,2.346210912,0,0
203,2,0.184308622,13,4
204,7,0.003210254,7,4
205,2,0.979170449,2,0
206,11,1.061311386,4,4
207,5,0.6443639,3,2
208,6,5.248786187,1,0
209,8,0.85655156,5,2
210,5,0.222736896,6,4
211,4,0.960817614,3,1
212,9,0.506109066,2,4
213,4,0.230316109,5,4
214,4,0.20788148,5,3
215,1,0.96121259,4,1
216,1,1.725313345,0,0
217,2,0.3632745,4,1
218,1,1.14528475,1,0
219,6,1.011320457,2,1
220,1,0.40560102,3,1
221,5,5.946110961,1,0
222,24,0.06611005,28,5
223,7,1.273852393,4,3
224,18,0.039890148,7,5
225,2,0.597609061,2,2
226,4,5.50613749,1,0
227,8,0.889516691,5,2
228,7,0.229201669,5,4
229,9,1.382560667,1,2
230,3,0.697718258,2,2
231,4,0.135208719,8,4
232,8,0.70171487,5,3
233,6,0.247716182,7,4
234,9,1.880316115,0,2
235,8,0.205249415,6,4
236,9,0.45905377,6,3
237,5,0.432286939,7,4
238,6,6.971588087,1,0
239,7,0.237983515,5,4
240,15,2.72910268,2,4
241,8,0.4839219,9,4
242,6,0.116206325,5,4
243,0,0.090799736,7,3
244,8,0.43823585,8,4
245,2,0.824510834,4,3
246,7,1.048727159,5,3
247,7,0.748869673,4,3
248,8,0.769445904,5,2
249,8,0.437522255,4,3
250,24,1.527131705,2,5
251,0,1.576972527,2,2
252,9,0.227128665,8,3
253,10,2.470959705,1,0
254,6,0.222478817,5,4
255,6,1.025845388,1,1
256,7,0.788180702,2,1
257,17,1.59196097,3,5
258,1,0.368889735,1,2
259,2,0.973398086,0,0
260,8,1.099211109,1,1
261,8,0.430540534,6,3
262,9,1.082505081,1,1
263,4,0.38882108,2,2
264,11,2.444014351,6,4
265,2,0.251048219,7,3
266,8,0.89990603,4,2
267,2,0.579502886,2,2
268,6,0.199215385,5,4
269,1,6.216746097,3,0
270,9,0.762624821,1,1
271,4,6.254289397,1,0
272,10,0.495425201,1,2
273,6,1.089772878,1,1
274,14,0.050218345,7,5
275,8,0.353323295,3,3
276,8,0.43649336,6,3
277,6,0.426710975,9,4
278,20,0.226826514,13,5
279,6,0.69731632,5,3
280,12,0.027280133,27,5
281,1,1.567172204,1,0
282,1,1.684613187,1,0
283,0,1.483141254,2,0
284,20,0.080066526,7,5
285,17,0.096437071,20,5
286,0,2.718126925,1,0
287,8,0.68287615,4,3
288,3,0.168033242,12,4
289,12,0.233304923,4,4
290,7,1.072428043,1,1
291,3,0.319628338,2,3
292,5,0.041811683,6,4
293,9,0.747059197,4,2
294,9,1.978053156,1,2
295,8,0.717166942,4,2
296,4,0.96312717,2,1
297,16,0.26424838,13,5
298,2,0.303034819,3,3
299,7,1.066143162,5,3
300,22,1.138492681,3,5
301,10,1.408690751,0,2
302,9,0.16591841,9,4
303,16,2.515003715,2,4
304,1,0.675419698,2,2
305,14,0.126116676,10,5
306,20,0,8,5
307,1,0.899213155,4,1
308,5,0.853836902,1,1
309,0,0.447670996,3,2
310,6,0.435303749,5,2
311,1,6.977621597,2,0
312,5,0.442846869,2,2
313,6,0.401592653,8,4
314,3,0.1261128,10,4
315,4,0.271002279,4,3
316,6,5.044163052,1,0
317,9,1.145202981,1,2
318,7,1.069117623,1,1
319,8,0.777267841,4,2
320,10,1.022942169,1,2
321,7,1.29972669,5,3
322,7,0.642214413,1,2
323,2,2.010177567,2,0
324,8,1.21546143,5,2
325,0,0.230940352,8,3
326,6,0.35478176,3,2
327,4,0.52795585,2,3
328,2,0.161449392,8,3
329,8,1.001949256,4,3
330,11,0.103397656,3,4
331,2,0.264491435,6,3
332,2,0.206145214,8,4
333,4,0.327415255,2,3
334,3,0.340824545,12,4
335,6,8.774032211,1,0
336,14,0.28918305,6,5
337,9,1.098388322,5,3
338,5,0.283064751,6,3
339,4,0.042871552,6,4
340,1,6.030316691,0,0
341,1,2.288730345,2,0
342,11,3.712138749,7,4
343,1,0.290422185,6,3
344,1,0.279445673,6,3
345,3,0.475683258,2,2
346,5,0.47811081,2,2
347,3,0.237120103,6,4
348,1,0.392219489,1,2
349,7,0.490076563,6,3
350,4,0.458386356,3,2
351,1,1.110513602,1,0
352,7,1.008917513,4,3
353,10,0.243752715,4,4
354,1,0.230920151,7,3
355,10,0.369963091,4,2
356,22,1.048459284,2,5
357,3,0.129856712,6,3
358,10,2.58213976,0,0
359,8,1.124309329,5,3
360,20,1.666723117,2,5
361,0,0.860352276,1,0
362,5,0.252117282,6,4
363,2,1.177125106,1,0
364,16,0.045914425,6,5
365,10,0.149852346,3,4
366,0,0.184212253,6,3
367,1,1.061371809,1,0
368,6,0.36677633,9,4
369,3,1.198047996,0,0
370,2,0.961250044,4,1
371,3,0.328335627,1,2
372,2,0.96936886,0,0
373,3,0.10145496,7,4
374,2,0.455202122,2,2
375,12,1.770365227,2,4
376,17,0.182413662,13,5
377,0,0.230940352,8,3
378,5,0.450117085,1,2
379,8,0.769145904,5,2
380,2,0.164904986,12,4
381,2,0.668442112,3,2
382,4,0.168127195,7,4
383,1,5.031502516,3,0
384,6,0,6,5
385,2,5.01408587,2,0
386,2,2.198527941,2,0
387,4,0.38887218,2,2
388,5,0.204334275,6,3
389,2,0.480499107,4,3
390,3,0.22101342,4,3
391,9,0.768880467,5,2
392,2,0.622149858,1,1
393,4,0.19703607,11,4
394,10,1.125790971,0,2
395,5,0.437424182,8,4
396,4,0.438664957,3,3
397,9,0.65892079,5,3
398,3,0.440332399,4,3
399,3,5.98304858,2,0
400,7,0.428665153,6,3
401,4,0.33811148,2,2
402,23,1.478373579,2,5
403,7,0.13301903,10,5
404,0,0.539191813,2,2
405,0,0.229524772,7,3
406,3,0.656725502,2,1
407,0,1.195101664,1,0
408,4,0.203224202,5,4
409,4,0.072208854,8,4
410,7,0.330393748,7,4
411,1,1.036495107,0,0
412,9,1.088374624,1,1
413,9,0.447374966,1,1
414,3,0.163678725,3,2
415,24,0,9,5
416,9,1.083758178,0,2
417,16,0.006783914,8,5
418,5,5.017780195,1,0
419,2,0.548484732,3,2
420,8,0.777267841,4,2
421,3,0.131328039,9,4
422,8,1.16311597,5,3
423,6,1.105210834,1,0
424,5,5.248196533,1,0
425,1,0.819349861,4,1
426,4,0.174787005,4,4
427,5,0.174787005,4,4
428,2,1.004972581,3,1
429,5,0.368441853,2,2
430,14,0.672625568,2,4
431,10,0.446087164,7,4
432,5,0.355579753,7,3
433,5,8.911123309,1,0
434,5,0.141660511,4,4
435,8,0.625062647,7,3
436,23,1.12924144,3,5
437,5,0.228521719,6,4
438,6,0.247107622,6,4
439,4,0.523875962,2,2
440,1,1.047895889,0,0
441,2,0.304902934,3,3
442,11,1.692252219,3,4
443,4,0.470561455,1,2
444,0,0.247636914,6,3
445,9,0.337484999,9,4
446,4,0.330393748,7,4
447,2,0.816948018,0,0
448,6,1.022025085,2,1
449,3,0.421557572,2,2
450,3,0.932060686,2,1
451,19,1.141906833,2,5
452,6,1.199474226,2,1
453,8,0.841062829,5,2
454,16,1.882552348,5,4
455,8,1.26287735,6,3
456,14,0,11,5
457,3,0.909824698,3,1
458,7,1.025845388,1,1
459,2,6.953240514,2,0
460,3,1.616813638,0,0
461,1,2.072573956,2,0
462,3,0.279210449,4,4
463,12,0.187637492,3,4
464,16,1.69451608,3,5
465,5,0.266558091,7,4
466,2,1.725313345,0,0
467,15,3.273840865,4,4
468,5,0.23339588,6,3
469,9,0.546439633,6,3
470,3,0.405308556,2,3
471,1,0.230940352,8,3
472,7,0.307326526,3,3
473,5,0.178615438,2,2
474,1,0.222478816,7,3
475,5,2.051762971,1,0
476,13,0,5,5
477,0,0.631032695,2,1
478,1,1.111126022,0,0
479,6,0.101391688,7,4
480,7,0.478708486,5,3
481,9,0.32575481,9,4
482,5,0.147046997,7,4
483,21,1.27453608,2,5
484,19,1.621399409,3,5
485,3,0.15435688,6,4
486,5,0.788180704,2,1
487,2,0.325914623,2,1
488,7,0.307458689,3,3
489,3,2.73001979,1,0
490,1,0.032588366,7,3
491,7,1.163074928,4,3
492,9,1.248237135,1,1
493,20,0.14843051,12,5
494,12,0.027746289,6,5
495,10,0.816064655,5,2
496,19,1.309724002,3,5
497,3,0.459792251,3,1
498,2,0.405612239,3,1
499,24,0.378223888,20,5
500,22,1.427125018,3,5
501,23,1.652171561,2,5
502,11,2.671214295,4,4
503,8,0.021201951,34,5
504,2,0.561687,3,2
505,8,0.237983515,5,4
506,8,0.462976685,6,3
507,7,0.428555678,6,3
508,1,0.68268657,2,1
509,7,1.700395185,4,3
510,4,0.080206934,19,4
511,6,1.346285935,2,2
512,6,2.788374341,1,0
513,2,2.732142907,2,0
514,7,0.445211341,5,2
515,7,0.578013278,5,3
516,3,0.43720387,2,2
517,17,0.066478587,6,5
518,3,1.872113698,3,1
519,6,0.197882124,5,4
520,1,0.983674494,1,0
521,10,0.675442939,4,2
522,8,0.229619952,7,4
523,17,0.207347181,24,5
524,2,1.098249415,0,0
525,9,0.085133999,5,5
526,14,0.032335991,7,5
527,15,0,15,5
528,0,0.222759767,7,3
529,14,9.30714689,2,4
530,9,0.130459316,4,4
531,20,1.446185224,3,5
532,0,0.267317833,7,3
533,7,0.409285379,6,3
534,0,0.288525851,7,3
535,0,0.36115921,1,2
536,2,0.417331062,2,2
537,14,0.037724316,37,5
538,0,0.002477577,7,3
539,2,0.581517912,3,3
540,1,0.310796042,1,2
541,0,0.405308556,2,2
542,1,0.548709784,2,0
543,1,0.983674494,1,0
544,5,0.585148162,2,2
545,4,1.515087025,3,2
546,24,1.193057412,2,5
547,6,0.320135217,7,4
548,6,1.138431628,1,1
549,7,1.163057176,1,2
550,16,0.117538121,10,5
551,1,0.409528297,3,2
552,0,0.641486719,8,3
553,7,0.301157494,1,2
554,1,0.852387094,5,1
555,4,0.369634023,2,2
556,11,1.406071049,1,2
557,5,0.408218686,5,2
558,9,1.021026158,1,2
559,1,0.242271805,6,3
560,11,1.616967107,1,2
561,11,1.178346891,1,2
562,5,0.647118041,2,2
563,24,1.472048391,3,5
564,4,0.377020174,2,3
565,0,0.983119035,0,0
566,7,0.277860166,4,3
567,4,0.636519416,2,2
568,6,1.232177351,1,1
569,9,0.821971163,4,2
570,2,0.354147515,4,3
571,7,0.440357415,4,2
572,2,2.411147466,2,0
573,4,0.332517946,4,3
574,6,0.641268896,6,3
575,1,1.692711077,2,0
576,7,1.430318101,5,3
577,24,0.160116757,4,5
578,7,1.281495213,5,3
579,9,0.304148012,8,4
580,5,0.804702015,2,1
581,21,0.10202343,10,5
582,4,0.201212645,6,3
583,2,0.056782188,11,4
584,17,0.378874136,8,5
585,5,0.285890548,6,4
586,10,1.703359022,0,2
587,4,1.093420119,1,2
588,3,1.049472332,3,2
589,8,0.717869075,4,3
590,1,1.648904743,3,2
591,8,0.717869075,4,3
592,1,1.167170796,1,2
593,10,0.356578956,7,4
594,8,0,10,5
595,5,0.324478909,3,2
596,7,0.285323657,6,4
597,19,0.32420447,2,5
598,6,5.007564534,1,0
599,2,0.392021653,3,3
600,8,0.216803304,6,4
601,1,1.557315783,1,0
602,1,1.871204836,1,0
603,8,0.403942283,5,3
604,4,1.099315651,1,1
605,23,1.181438439,2,5
606,5,2.92613848,1,0
607,2,1.093522417,3,1
608,0,0.448350362,1,2
609,9,0.588146347,8,4
610,6,0.089109034,38,5
611,6,0.224792393,6,4
612,6,6.414213373,1,0
613,2,0.392010943,2,3
614,9,0.45778778,4,3
615,18,0.22233092,2,5
616,7,1.089772878,1,1
617,7,0.467856668,4,3
618,5,0.20473855,5,3
619,0,0.187687555,6,3
620,1,0.737782399,4,1
621,10,0.137460194,3,4
622,4,0.175027641,12,4
623,24,1.061996439,2,5
624,2,1.937162672,0,0
625,3,1.472771749,3,1
626,6,0.26660821,6,4
627,0,0.456735778,2,2
628,7,0.219527344,6,4
629,0,0.177416067,8,3
630,6,0.198364819,7,4
631,4,0.805592945,4,1
632,5,0.98499897,1,0
633,1,6.090838885,0,0
634,9,0.970249411,4,2
635,7,0.345314317,7,4
636,4,0.23311429,11,4
637,9,0.455137083,3,3
638,21,0,5,5
639,5,0.54003887,2,2
640,8,0.230940352,8,4
641,2,0.30436276,1,2
642,1,0.16176469,8,3
643,10,8.280849964,0,0
644,4,0.10206173,10,4
645,1,0.271092365,8,3
646,4,0.36672736,1,2
647,6,0.491655673,7,4
648,10,1.478053126,1,2
649,4,0.59544899,3,2
650,4,0.189686971,4,3
651,6,0.422575293,8,4
652,5,0.283064751,6,3
653,21,1.280298491,3,5
654,1,6.753401809,2,0
655,2,0.151706527,13,4
656,7,0.230481619,7,4
657,1,1.044945489,6,3
658,0,2.987435706,0,0
659,5,0.008522218,6,4
660,14,0.011273627,16,5
661,3,0.5783637,2,3
662,6,0.498631347,1,2
663,1,0.257461757,5,1
664,9,0.837279018,4,2
665,4,0.174787005,4,4
666,7,1.850403621,1,1
667,9,0.037034572,39,5
668,9,0.518108433,9,4
669,6,1.932344886,2,1
670,8,0.442205791,4,3
671,16,0.268127785,11,5
672,5,0.127221821,7,4
673,2,0.970864155,4,1
674,9,0.366283128,6,3
675,6,0.305118715,2,2
676,7,0.25422568,5,4
677,6,0.021447121,40,5
678,2,1.280100732,1,0
679,6,0.96342704,8,4
680,2,1.27928011,5,1
681,8,0.271899714,6,4
682,3,0.817415627,1,0
683,8,0.578108438,8,3
684,3,8.83426884,0,0
685,9,1.932132457,0,2
686,4,0.379199481,1,2
687,7,0.452253014,7,4
688,10,0.352601109,4,2
689,4,6.921116911,1,0
690,10,0.319041202,9,4
691,11,0.169644884,2,4
692,6,6.978118701,1,0
693,8,0.308673771,8,3
694,6,1.290097518,2,2
695,1,0.983674494,1,0
696,24,1.561580573,2,5
697,2,1.912139537,2,1
698,19,1.915154491,3,5
699,5,0.961983617,4,1
700,4,1.478373579,2,1
701,1,0.983187051,4,1
702,13,0.008587115,10,5
703,16,0,11,5
704,1,2.004071762,0,0
705,5,0.445877212,4,2
706,5,0.733463332,1,1
707,6,0.233114742,4,4
708,9,0.304148122,9,4
709,7,1.124472107,4,2
710,23,1.480979729,2,5
711,3,0.111185245,9,4
712,22,0.061489078,8,5
713,10,1.232311664,1,2
714,5,0.558739908,1,2
715,12,0.272171925,4,4
716,4,0.55776059,4,3
717,23,1.897150074,2,5
718,3,0.329152126,3,3
719,3,0.297112311,6,3
720,5,0.236204335,6,3
721,0,0.037221492,7,3
722,0,0.00901517,6,3
723,15,0.066502412,13,5
724,6,0.830040805,2,2
725,10,1.391336521,0,2
726,0,0.077542416,32,5
727,3,0.354715474,3,3
728,5,1.066371106,1,2
729,22,0.080641516,16,5
730,12,0.144296379,2,4
731,9,0.408199919,4,3
732,8,1.21852182,4,3
733,8,1.106183997,4,3
734,9,0.316750891,5,3
735,10,0.267774279,5,2
736,11,0.738481772,0,2
737,0,0.153838152,7,3
738,1,0.789820204,4,1
739,6,5.600019467,1,0
740,3,0.26650611,5,4
741,1,0.980536067,4,1
742,10,6.485808162,1,0
